case_id,release_scope,readiness,epic,data_flow,review_role,priority,preconditions,input_or_trigger,expected_authorization_and_scope,expected_processing,expected_persistence_and_restart,expected_lineage_and_audit,expected_api_or_artifact,negative_or_failure_case,verification_method,automation_reference,traceability,blocker,owner
"DEV-DATA-014","current","ready","BE-03","Enterprise risk deterministic model utility","Finance/data owner","high","Fixed synthetic risks parameters model version and seed exist","Execute risk aggregation or expected-loss model twice with identical input","Caller must be authorized for company context before service invocation through API","Backend validates inputs and produces deterministic output for identical version parameters and seed","Current utility output is not a production persisted run contract","Model inputs version seed and source references are available to the calling workflow","API/domain result has documented units precision and validation state","Invalid probabilities dimensions or limits are rejected without a result","Run enterprise-risk and epic-08 tests; compare outputs exactly or within documented tolerance","tests/test_enterprise_risk_management.py;tests/test_epic08_risk.py","src/cfo_platform/risk_management.py;tests/test_enterprise_risk_management.py","Common persisted BE-03 run envelope is incomplete","Finance/data owner"
"DEV-DATA-015","current","ready","BE-03","Market-risk deterministic model utility","Finance/data owner","high","Fixed synthetic market series parameters model version and seed exist","Execute VaR/GARCH/copula/regime or backtest twice with identical input","Caller must be authorized for company context before service invocation through API","Backend validates inputs and returns reproducible output under documented numerical tolerance","Current result lifecycle may be in memory and is not a complete production run record","Model family version parameters seed validation and source references are exposed to workflow","Result documents confidence horizon units and diagnostics","Insufficient observations invalid confidence or failed convergence returns a controlled validation/model error","Run epic-12 tests and compare repeat executions","tests/test_epic12_market_treasury_risk.py","src/cfo_platform/market_treasury_risk.py;tests/test_epic12_market_treasury_risk.py","Common persisted BE-03 run envelope is incomplete","Finance/data owner"
"DEV-DATA-016","production_target","planned_blocked","BE-03","Persisted risk and market-risk runs","Engineering owner","critical","Durable database worker and governed source snapshots are available","Submit run with context source IDs model version parameters and seed; poll; restart; retrieve","Create/read rights and company scope are enforced on submission and retrieval","Run transitions through accepted running succeeded or failed and delegates calculations to existing backend models","Run metadata status diagnostics and result reference survive API and worker restarts","Immutable run records retain sources model version parameters seed actor timestamps validation and lineage","POST returns run ID; GET returns status and result or controlled failure details","Duplicate idempotency key does not duplicate work; inaccessible run is not leaked; worker failure is recoverable","Run worker/database restart integration suite and compare result to deterministic utility","manual integrated UAT","src/cfo_platform/infrastructure/jobs.py;docs/backend-production-integration-roadmap.md","Durable run repository and queue-backed workers are not implemented","Engineering owner"
"DEV-DATA-017","current","ready","BE-04","Action simulation and prioritization","Finance/data owner","high","Synthetic actions forecasts risks constraints and fixed seed exist","Simulate actions and prioritize portfolio twice","Caller is scoped to company and authorized action role","Backend validates dependencies calculates scenario outcomes and prioritizes under documented rules","Current action and run repositories are in-memory unless otherwise configured","Results retain action IDs assumptions source/run references model version and seed","API returns simulation outcomes ranking constraints and validation status","Invalid dependencies infeasible constraints or duplicate action identity are rejected","Run action management and epic-09 tests","tests/test_action_management.py;tests/test_epic09_actions.py","src/cfo_platform/action_management.py;tests/test_action_management.py","Production versioned decision-run persistence is incomplete","Finance/data owner"
"DEV-DATA-018","current","ready","BE-04","Action lifecycle and benefit tracking","Finance/data owner","high","Authorized owner reviewer and synthetic action exist","Register action; review; transition status; record benefit; retrieve portfolio","Role company ownership and transition permissions are enforced","Service applies allowed lifecycle transitions and separates modeled from realized benefits","Current records use in-memory adapters and do not prove restart durability","Every mutation records actor time prior/new state source context and version","API returns action version status ownership and benefit history","Stale version invalid transition unauthorized owner or invalid benefit leaves state unchanged","Run action management API and epic-09 tests","tests/test_action_management.py;tests/test_epic09_actions.py","src/cfo_platform/action_management.py;tests/test_epic09_actions.py","Durable persistence and optimistic concurrency are incomplete","Engineering owner"
"DEV-DATA-019","current","ready","BE-04","Capital valuation and optimization","Finance/data owner","critical","Synthetic projects cash flows constraints funding options and fixed seed exist","Run project valuation Monte Carlo portfolio optimization and funding evaluation","Caller is authorized for company decision context","Backend validates units assumptions and constraints and computes NPV distributions portfolio and funding results","Current decision outputs do not establish production restart durability","Results expose exact inputs source state model/algorithm version seed constraints and validation","API returns documented values units feasibility and recommendation metadata","Invalid cash-flow horizon infeasible constraints or numerical failure returns controlled error without recommendation","Run capital allocation and epic-10 tests","tests/test_capital_allocation.py;tests/test_epic10_reporting.py","src/cfo_platform/capital_allocation.py;tests/test_capital_allocation.py","Production versioned capital-run persistence is incomplete","Finance/data owner"
"DEV-DATA-020","production_target","planned_blocked","BE-04","Durable action and capital decision runs","DBA","critical","PostgreSQL and governed source read models are available","Create action and capital runs; restart API/worker; retrieve; supersede source version","Decision roles and company scope are enforced consistently on runs and source records","Every run binds exact forecast risk covenant and scenario versions and detects stale optimistic versions","Committed runs and results survive restart; failed writes roll back atomically","Immutable run lineage links decisions assumptions constraints actor approval and source versions","Run endpoints return stable IDs versions status results and conflict responses","Replay is idempotent; stale source or concurrent update returns 409; no partial portfolio persists","Execute concurrency restart and rollback integration tests","manual database UAT","src/cfo_platform/action_management.py;src/cfo_platform/capital_allocation.py;docs/backend-production-integration-roadmap.md","PostgreSQL decision-run adapters and concurrency controls are incomplete","DBA"
"DEV-DATA-021","current","ready","BE-05","Report rendering utilities","Finance controller","high","Approved synthetic report data and template exist","Render JSON CSV XLSX PDF and PPTX outputs where supported","Caller is authorized for the report company and output type","Backend renders values labels tables and metadata from provided governed report context","Current direct rendering is not a durable report job/publication workflow","Artifact embeds or accompanies source context template/version and generation metadata","Output opens successfully and content agrees across formats within format-specific rules","Unsupported format invalid template or missing source fails without a misleading artifact","Run reporting tests and inspect generated artifacts","tests/test_epic10_reporting.py","src/cfo_platform/reporting_factory.py;tests/test_epic10_reporting.py","Background orchestration object storage approvals and publication are incomplete","Finance/data owner"
"DEV-DATA-022","production_target","planned_blocked","BE-05","Governed report orchestration","Operations reviewer","critical","Durable queue worker object store report repository and approver roles exist","Submit request; observe job; generate artifact; approve with distinct user; publish; restart components; retrieve","Request generate approve and publish permissions are separate and company-scoped","Workflow enforces request to job to governed run to artifact to approval to publication transitions","Job run metadata artifact URI/checksum and publication state survive all component restarts","Lineage connects source context snapshots runs template model actor approvals and every transition","API exposes stable report/job IDs statuses redacted errors and immutable artifact metadata","Duplicate request is idempotent; failed worker retries then dead-letters; self-approval and stale publication fail","Run end-to-end worker restart retry and artifact checksum review","manual integrated UAT","src/cfo_platform/infrastructure/jobs.py;docs/backend-production-integration-roadmap.md","In-process jobs and lack of object storage prevent production acceptance","Operations reviewer"
"DEV-DATA-023","current","ready","BE-06","Copilot governed response service","Security reviewer","high","Synthetic approved context routes and model stub exist","Request an explanation requiring citations and routing","Caller company scope and allowed Copilot capability are checked","Service resolves route assembles approved context invokes model adapter and validates grounded response","Current interactions may be stored in memory and model behavior may be stubbed","Response records route model citations confidence context/run references actor and interaction ID","API returns grounded answer with citations and no autonomous write","Prompt injection unsupported context or requested write is refused or safely constrained","Run epic-11 Foundry Copilot tests and inspect recorded interaction","tests/test_epic11_foundry_copilot.py","src/cfo_platform/ai_foundry.py;tests/test_epic11_foundry_copilot.py","Production Foundry identity durable lineage and telemetry are incomplete","Security reviewer"
"DEV-DATA-024","production_target","planned_blocked","BE-06","Production Foundry orchestration","Operations reviewer","critical","Foundry deployments managed identity governed context and durable telemetry store exist","Submit allowed unsupported adversarial and dependency-failure prompts","OIDC principal company scope tool permission and data classification constrain context and tools","Assembler selects approved read models; router chooses approved deployment; tool calls are bounded; fallback and content safety are enforced","Interaction run tool and cost records survive restart without storing secrets","Complete lineage records prompt hash actor context sources route model deployment citations tools tokens cost and outcome","Response includes verifiable citations and safe error/fallback metadata","Cross-company citation prompt injection tool escalation timeout and model outage expose no protected data or autonomous write","Execute adversarial integration review and correlate Foundry/backend traces","manual security UAT","src/cfo_platform/ai_foundry.py;docs/backend-production-integration-roadmap.md","Production Foundry resources managed identity and durable orchestration are incomplete","Security reviewer"
"DEV-DATA-025","current","ready","API contract","OpenAPI generation and frontend synchronization","Engineering owner","high","FastAPI app and frontend dependencies are available","Export OpenAPI; regenerate TypeScript schema; compare working tree; run frontend typecheck","Schema exposes only intended API operations and security requirements","Pydantic models generate stable machine-readable request response and error contracts","Generated schema is version controlled; this flow does not establish runtime data durability","Operation IDs and model fields retain traceability to backend routes and frontend adapters","npm run api:sync produces generated types consumed by openapi-fetch","Undocumented breaking drift fails CI/typecheck; generated file is never hand-edited","Run API sync then frontend typecheck and inspect diff","frontend/package.json scripts","frontend/scripts/export_openapi.py;frontend/src/api/generated/schema.d.ts;docs/frontend-backend-contracts.md","Not all production-target endpoints and error envelopes are finalized","Engineering owner"
"DEV-DATA-026","current","ready","API contract","MSW and live contract parity","Engineering owner","high","Generated schema and MSW handlers are current","Issue representative frontend requests in mock mode and compare shape/status to FastAPI contract tests","Mock handlers must not bypass application authorization assumptions in production code","Handlers return schema-compatible values and explicit mock labels remain visible","Fixtures are static test data and must never be treated as persisted backend state","Fixture identifiers and scenarios are traceable to test cases rather than production entities","Frontend renders expected states and unhandled MSW requests fail tests","Missing handler schema mismatch or accidental live request fails the test rather than silently succeeding","Run frontend unit tests with onUnhandledRequest error and contract comparison","frontend/src/test/setup.ts","frontend/src/mocks;frontend/src/test/setup.ts;docs/frontend-backend-contracts.md","Several workspaces remain mock-connected by design","Engineering owner"
"DEV-DATA-027","current","ready","BE-07","In-process job behavior","Operations reviewer","medium","Test app uses InMemoryJobManager","Submit successful and failing jobs; inspect status and result","Caller authorization occurs before job submission; manager itself is process-local infrastructure","Thread pool records accepted running succeeded or failed state and captures controlled failure","All jobs and records are lost on process restart","Current records contain job ID timestamps state and result/error but no production queue lineage","API can expose bounded current-process status where integrated","Restart proves loss; this expected failure confirms it cannot satisfy production durability","Run focused job/API tests and restart process manually","tests/test_api.py","src/cfo_platform/infrastructure/jobs.py;tests/test_api.py","Thread-backed manager is explicitly local infrastructure","Operations reviewer"
"DEV-DATA-028","production_target","planned_blocked","BE-07","Queue retry and dead-letter recovery","Operations reviewer","critical","Durable queue worker and poison-message policy are deployed","Submit job; inject transient failure then success; inject permanent failure; restart worker","Queue message contains scoped immutable references and worker reauthorizes or uses constrained service identity","Transient errors use bounded exponential retry; permanent errors dead-letter with reason; processing is idempotent","Message state attempt count job record and outcome survive broker and worker restarts","Correlation causation source run and worker attempt are traceable without payload secrets","Job API shows queued retrying failed/dead-letter and recovered outcomes","Duplicate delivery causes one logical side effect; poison message cannot block queue","Review broker records metrics logs and database side effects across restart","manual operations UAT","src/cfo_platform/infrastructure/jobs.py;docs/backend-production-integration-roadmap.md","Durable queue and worker are not implemented","Operations reviewer"
"DEV-DATA-029","production_target","planned_blocked","BE-07","Optimistic concurrency","Engineering owner","critical","Durable versioned resource endpoint is deployed","Two clients read version N and submit conflicting updates","Both clients are authorized independently for the same scoped resource","First update commits N+1; second compares expected version and is rejected","Only one committed state survives restart and no last-write-wins overwrite occurs","Audit identifies both attempts actor expected version and winning version without recording rejected values as committed","Conflict returns 409 with current version and safe refresh guidance","Parallel requests and stale replay never produce duplicate transitions or lost updates","Run concurrent integration test and inspect transaction isolation","manual integrated UAT","src/cfo_platform/governance.py;docs/backend-production-integration-roadmap.md","General version/ETag preconditions and 409 envelope are incomplete","Engineering owner"
"DEV-DATA-030","production_target","planned_blocked","BE-07","Idempotent command replay","Engineering owner","critical","Durable idempotency store and mutation endpoint are deployed","Submit identical command and key concurrently and after restart; reuse key with different payload","Key is scoped to authenticated actor/company/operation and cannot reveal another principal's response","First valid request performs one side effect; replay returns original outcome; payload mismatch is rejected","Idempotency record and response reference survive restart for defined retention","Audit distinguishes original execution from replay and retains correlation/causation IDs","API returns stable resource/run ID and documented replay indication","Concurrent duplicate produces one resource; changed payload with same key returns conflict","Run parallel and restart integration test; count durable side effects","manual integrated UAT","docs/backend-production-integration-roadmap.md;src/cfo_platform/api/app.py","Idempotency middleware/store is not implemented","Engineering owner"
"DEV-DATA-031","production_target","planned_blocked","BE-07","Pagination filtering and bounds","Engineering owner","high","List endpoint contains more than two pages across two companies","Query valid and invalid limits cursors sort and filters","Results remain company-scoped before pagination and aggregate counts","Server applies deterministic stable ordering validated filters and capped limits","Pagination uses durable query state only; no process-local cursor is required","Request filters and correlation ID are observable without logging sensitive values","Response includes bounded items and stable next cursor or page metadata","Oversized limit invalid cursor injection-like filter or cross-company key is rejected safely","Run API matrix and verify no duplicates or omissions across pages","manual integrated UAT","docs/backend-production-integration-roadmap.md;src/cfo_platform/api/app.py","Common pagination contract is not implemented","Engineering owner"
"DEV-DATA-032","production_target","planned_blocked","BE-07","Transaction rollback and audit consistency","DBA","critical","PostgreSQL fault injection is available","Fail after domain write before audit commit and fail after audit preparation before response","Transaction uses least-privilege scoped repository operations","Domain state and required audit event commit atomically or both roll back","Restart reveals only fully committed transaction and repository remains usable","No orphan audit or unaudited domain mutation exists; ordering remains deterministic","API returns controlled error with correlation ID and retry semantics","Injected failure never leaves partial current state duplicate event or broken sequence","Inspect database in same and new connection; rerun command according to idempotency contract","manual database UAT","src/cfo_platform/governance.py;src/cfo_platform/governance_persistence.py","Production unit-of-work transaction boundary is incomplete","DBA"
"DEV-DATA-033","production_target","planned_blocked","BE-07","Backup restore and retention","DBA","critical","Production-like database and object store contain synthetic snapshots runs audits and artifacts","Take backup; create later records; restore to isolated environment; verify retention/deletion policy","Backup and restore roles are separate and restored access policies preserve tenant boundaries","Backup captures consistent database and artifact references and restore procedure validates schema/version compatibility","Restored service retrieves all records up to recovery point with documented RPO/RTO","Audit lineage checksums and artifact references remain verifiable; required immutable records are retained","Health and representative APIs work against restored data; missing post-RPO records are documented","Corrupt backup missing artifact and unauthorized deletion are detected and alerted","Execute restore drill and compare counts hashes lineage and artifact checksums","manual recovery UAT","docs/backend-production-integration-roadmap.md;docs/cfo-product-implementation-roadmap.md","Backup restore retention and deletion implementation is not selected","DBA"
"DEV-DATA-034","current","ready","BE-07","Health endpoints","Operations reviewer","high","API process is running","Call /health/live and /health/ready in normal state","Endpoints expose no protected finance data and require no caller-controlled identity","Liveness confirms process loop; current readiness returns configured service/environment/version status","Health is process state only and does not persist","Requests can be correlated in operational telemetry without excessive noise","Responses are fast stable and schema-conformant","Malformed headers do not affect health; current readiness may not detect all dependencies","Run API tests and curl endpoints","tests/test_api.py","src/cfo_platform/api/app.py;tests/test_api.py","Readiness is not yet dependency-aware for database queue object store and Foundry","Operations reviewer"
"DEV-DATA-035","production_target","planned_blocked","BE-07","Dependency-aware readiness","Operations reviewer","critical","Database queue object store and required identity/model dependencies are configured","Call readiness healthy; fail each required dependency independently; restore it","Endpoint exposes only safe dependency category/state and no credentials or topology secrets","Readiness uses bounded cached probes and distinguishes required from optional dependencies","Probe state does not become a source of business persistence and recovers after dependency restoration","Transitions emit metrics/logs with correlation and dependency category","Readiness becomes non-ready for required dependency failure while liveness remains healthy","Slow or failed dependency cannot hang endpoint or trigger cascading load","Inject each failure and inspect status latency logs metrics and orchestrator behavior","manual operations UAT","src/cfo_platform/api/app.py;docs/backend-production-integration-roadmap.md","Dependency-aware readiness probes are incomplete","Operations reviewer"
"DEV-DATA-036","production_target","planned_blocked","BE-07","Correlation logs metrics and traces","Operations reviewer","critical","Central telemetry collector is configured","Send frontend request through API job worker database and external dependency","Telemetry access is restricted and fields exclude tokens prompts where prohibited and finance payloads","One accepted/generated correlation ID propagates through request service repository job and dependency calls","Telemetry is durable according to approved retention and does not replace domain audit","Trace and structured events include safe actor/company identifiers operation run/job IDs outcome latency and error category","Response includes safe correlation ID; dashboards expose rate errors duration queue depth and model/token cost where applicable","Malformed correlation ID is replaced; failures remain traceable; secrets and raw finance rows never appear","Inspect correlated trace log schema metrics and redaction under success and failure","manual operations UAT","src/cfo_platform/api/app.py;docs/backend-production-integration-roadmap.md","End-to-end structured observability is incomplete","Operations reviewer"
"DEV-DATA-037","production_target","planned_blocked","BE-07","Rate size and timeout limits","Security reviewer","high","Gateway or middleware limits are configured","Burst requests; send oversized file/body; trigger slow operation and dependency timeout","Limits are keyed to authenticated tenant/user where appropriate and resist header spoofing","System enforces documented request rate size duration and concurrency bounds before resource exhaustion","Rejected requests create no partial domain state and timed-out work follows cancellation/idempotency policy","Safe security telemetry records category scope and correlation without body or credentials","API returns 413 429 or timeout status with retry guidance where safe","Limit bypass header manipulation slow body and retry storm do not exhaust service or duplicate work","Run bounded load/security test and inspect resource use and side effects","manual security UAT","src/cfo_platform/api/app.py;docs/backend-production-integration-roadmap.md","Production limits and gateway policy are not implemented","Security reviewer"
"DEV-DATA-038","production_target","planned_blocked","BE-07","CORS and secrets handling","Security reviewer","critical","Production origins and secret provider are configured","Send allowed and disallowed origins and preflights; inspect deployment environment logs and errors","Only exact approved origins methods and headers are allowed; credentials policy is explicit","Application loads secrets through provider references and never accepts secrets from frontend configuration","No secret value is stored in repository database telemetry artifact or execution evidence","Secret access and rotation events are auditable without recording values","Disallowed origin receives no credentialed response; normal service continues after supported rotation","Wildcard credentialed CORS exposed stack trace committed secret and logged token fail acceptance","Review configuration source scan response headers logs and rotation drill","manual security UAT","src/cfo_platform/api/settings.py;src/cfo_platform/api/app.py","Production secret provider rotation and CORS policy are not finalized","Security reviewer"
"DEV-DATA-039","production_target","planned_blocked","BE-07","External dependency retry and circuit breaker","Operations reviewer","high","Controllable Foundry or external adapter and telemetry exist","Inject transient errors rate limits slow responses and sustained outage; then restore dependency","Outbound identity is least privilege and no caller credentials are forwarded","Timeout retry backoff jitter and circuit thresholds are bounded and operation-aware; non-idempotent calls are not blindly retried","Domain request records controlled pending/failed outcome and restart recovery follows job/idempotency policy","Attempts fallback circuit transitions and final outcome share correlation and run lineage","API returns bounded safe fallback or dependency-unavailable response","Sustained outage opens circuit; half-open probe recovers; retry storm and duplicate side effects do not occur","Fault-injection test with timing metrics traces and side-effect count","manual operations UAT","src/cfo_platform/ai_foundry.py;docs/backend-production-integration-roadmap.md","Common timeout retry and circuit-breaker policy is incomplete","Operations reviewer"
"DEV-DATA-040","production_target","planned_blocked","BE-07","Multi-tenant cache isolation","Security reviewer","critical","Production read-model cache is enabled for two companies and users","Warm same route/context for company A; request as company B; revoke A access; publish new version","Cache key includes tenant company period scenario projection version and authorization-relevant dimensions; authorization occurs on every request","Cache returns only matching published projection and invalidates or versions entries after publication","Cache loss is safe; durable database remains authority; restart cannot resurrect unauthorized stale data","Cache hit/miss and projection version are observable without logging finance payload","Responses retain correct source/version/freshness metadata","Cross-company key collision revoked access stale publication and cache poisoning reveal no protected data","Execute isolation matrix and compare cache keys API responses and database authority","manual security UAT","src/cfo_platform/workspace_integration.py;docs/backend-production-integration-roadmap.md","Production cache and invalidation policy are not implemented","Security reviewer"
