case_id,release_scope,readiness,epic,journey,route,persona,viewport,priority,preconditions,steps,expected_functional_behavior,expected_visual_behavior,expected_accessibility_behavior,expected_data_and_contract_state,automation_reference,traceability,blocker,owner
"FE-UAT-017","current","ready","FE-12","Data management placeholder","/app/data","Data steward","desktop and mobile","medium","Current application is running","Navigate to Data; inspect route status and available content","Route resolves without offering a nonfunctional import or claiming a snapshot was created","Page clearly identifies Data and placeholder status; no finance rows appear as authoritative imported data","Heading and placeholder status are announced and navigation remains keyboard usable","No data is uploaded persisted or governed by the current placeholder","frontend/src/app/App.test.tsx","frontend/src/pages/WorkspacePlaceholder.tsx;frontend/src/app/router.tsx","Feature page is not implemented","Finance/data owner"
"FE-UAT-018","current","ready","FE-12","Governance placeholder","/app/governance","Model governance reviewer","desktop and mobile","medium","Current application is running","Navigate to Governance; inspect route status and available content","Route resolves without exposing fake approvals or editable immutable run state","Page clearly identifies Governance and placeholder status; no simulated approval is presented as completed","Heading and placeholder status are announced and navigation remains keyboard usable","No governed run scenario model approval or lineage record is changed","frontend/src/app/App.test.tsx","frontend/src/pages/WorkspacePlaceholder.tsx;frontend/src/app/router.tsx","Feature page is not implemented","Security reviewer"
"FE-UAT-019","current","ready","FE-03","Async UI states","/app/planning","Finance analyst","desktop and mobile","high","MSW can delay return empty data and return an error","Load with delayed response; load an empty fixture; return a server error; restore success","Loading empty error and recovered states are distinct; stale values are not shown as current after a failed context change","Loading does not cause major layout shift; empty and error messages sit in the owning section; retry control is visible and stable","Loading state is announced; error is associated with retry; focus is retained or moved deliberately; no infinite busy state","Each state reflects the active query key and preserves explicit mock status","frontend/src/test/setup.ts","frontend/src/features/planning-performance/query.ts;frontend/src/test/setup.ts","Some state variants require additional MSW fixtures","Engineering owner"
"FE-UAT-020","production_target","planned_blocked","BE-01","Authoritative workspace context","/app/command-center","Authorized finance user","desktop and mobile","critical","OIDC is enabled and BE-01 context endpoints are deployed","Sign in; inspect allowed companies; select company period and scenario; navigate among workspaces; refresh","Only authorized context options are shown; resolved identifiers are sent explicitly on workspace requests and survive refresh without process-global state","LOCAL CONTEXT label is absent; selected authoritative context and as-of state are clear; long entity names do not break the shell","Selectors have labels and validation; inaccessible options are absent; authentication expiry produces an actionable state","Context is loaded from BE-01 and query keys include company period and scenario identifiers","manual integrated UAT","frontend/src/components/layout/AppShell.tsx;docs/backend-production-integration-roadmap.md;docs/frontend-backend-contracts.md","Trusted identity headers and local context are not production identity/context","Security reviewer"
"FE-UAT-021","production_target","planned_blocked","BE-02","Live command center","/app/command-center","CFO","desktop tablet and mobile","critical","BE-01 and published BE-02 command-center projection are available","Select a governed context; open route; compare displayed source IDs metrics and as-of time with API response","UI displays the authoritative published projection; unavailable contexts produce a clear 404 empty state and no invented values","MOCK CONNECTED is absent; freshness assurance and lineage are visible; all current responsive and visual requirements still pass","All current keyboard semantic chart and non-color requirements pass for live data","Generated OpenAPI types and adapter map the response; finance values are formatted but not recomputed","frontend/src/pages/CommandCenterPage.test.tsx","frontend/src/pages/CommandCenterPage.tsx;docs/backend-production-integration-roadmap.md;docs/frontend-backend-contracts.md","Durable read-model publication and frontend live adapter are incomplete","Engineering owner"
"FE-UAT-022","production_target","planned_blocked","BE-02","Live planning workspace","/app/planning","FP&A lead","desktop tablet and mobile","critical","Published planning projection exists for an authorized context","Open route; compare forecast versions scenarios bands and source IDs with API; request an unpublished context","UI uses the published planning projection and shows a governed no-data state for 404","MOCK CONNECTED is absent; version source and as-of labels are visible; charts and tables remain responsive","Current accessibility requirements pass with live and empty data","Generated types and adapter use GET /api/v1/planning/workspace without synthesizing inputs","frontend/src/pages/PlanningPerformance.test.tsx","frontend/src/pages/PlanningPage.tsx;docs/backend-production-integration-roadmap.md;docs/frontend-backend-contracts.md","Published durable planning read model and live adapter are incomplete","Engineering owner"
"FE-UAT-023","production_target","planned_blocked","BE-02","Live performance workspace","/app/performance","Finance controller","desktop tablet and mobile","critical","Published performance projection exists for an authorized context","Open route; compare KPI variance anomaly and commentary IDs with API; request an unpublished context","UI uses one versioned published projection and handles 404 without manufacturing statement values","MOCK CONNECTED is absent; source as-of and materiality labels are visible; charts and tables remain responsive","Current accessibility requirements pass with live and empty data","Generated types and adapter use GET /api/v1/performance/workspace; browser does not invoke calculation endpoints to build the page","frontend/src/pages/PlanningPerformance.test.tsx","frontend/src/pages/PerformancePage.tsx;docs/backend-production-integration-roadmap.md;docs/frontend-backend-contracts.md","Published durable performance read model and live adapter are incomplete","Engineering owner"
"FE-UAT-024","production_target","planned_blocked","BE-02","Live profitability workspace","/app/profitability","Commercial finance lead","desktop tablet and mobile","critical","Published profitability projection exists for an authorized context","Open route; compare dimensions allocations and risk source IDs with API; request an unpublished context","UI uses the published projection and preserves backend-owned calculations and reconciliation state","MOCK CONNECTED is absent; source and allocation version are visible; long dimensions and large tables remain usable","Current accessibility requirements pass with live empty and large datasets","Generated types and adapter use GET /api/v1/profitability/workspace","frontend/src/pages/ProfitabilityLiquidity.test.tsx","frontend/src/pages/ProfitabilityPage.tsx;docs/backend-production-integration-roadmap.md;docs/frontend-backend-contracts.md","Published durable profitability read model and live adapter are incomplete","Engineering owner"
"FE-UAT-025","production_target","planned_blocked","BE-02","Live liquidity workspace","/app/liquidity","Treasurer","desktop tablet and mobile","critical","Published liquidity projection exists for an authorized context","Open route; compare cash debt covenant and stress source IDs with API; request an unpublished context","UI uses authoritative persisted outputs and escalates covenant breaches without browser recalculation","MOCK CONNECTED is absent; freshness horizon currency and covenant source are visible; charts remain legible","Current accessibility requirements pass and breach severity is not color-only","Generated types and adapter use GET /api/v1/liquidity/workspace","frontend/src/pages/ProfitabilityLiquidity.test.tsx","frontend/src/pages/LiquidityPage.tsx;docs/backend-production-integration-roadmap.md;docs/frontend-backend-contracts.md","Published durable liquidity read model and live adapter are incomplete","Engineering owner"
"FE-UAT-026","production_target","planned_blocked","BE-03","Live enterprise risk workspace","/app/risk","Chief risk officer","desktop tablet and mobile","critical","Published risk projection and persisted model runs exist","Open route; inspect run status version seed sources and limits; retrieve completed run; test inaccessible company","UI displays governed run-backed risk output and rejects unauthorized context without leaking existence","MOCK CONNECTED is absent; model and run lineage is visible; limits and breaches remain legible","Current accessibility requirements pass and model state is not color-only","Projection references persisted immutable run IDs and source snapshots","frontend/src/pages/RiskPage.test.tsx","frontend/src/pages/RiskPage.tsx;docs/backend-production-integration-roadmap.md;docs/fe08-risk-contracts.md","Persisted production risk runs and frontend live adapter are incomplete","Security reviewer"
"FE-UAT-027","production_target","planned_blocked","BE-03","Live treasury risk workspace","/app/market-risk","Treasurer","desktop tablet and mobile","critical","Published market-risk projection and persisted model runs exist","Open route; inspect model family version seed confidence horizon sources and validation; retrieve run","UI displays governed run-backed results and separates pending failed and completed run states","MOCK CONNECTED is absent; lineage and model status are visible; plots remain nonblank and legible","Current accessibility requirements pass and model states have text equivalents","VaR ES stress hedge and backtest outputs reference immutable persisted runs","frontend/src/pages/MarketRiskPage.test.tsx","frontend/src/pages/MarketRiskPage.tsx;docs/backend-production-integration-roadmap.md;docs/fe09-market-risk-contracts.md","Persisted production market-risk runs and frontend live adapter are incomplete","Finance/data owner"
"FE-UAT-028","production_target","planned_blocked","BE-04","Action management","/app/actions","Transformation lead","desktop tablet and mobile","critical","Action read model and versioned simulation/prioritization runs are deployed","Open portfolio; inspect owners status benefits sources and run lineage; simulate and submit an authorized action; retry submission","Portfolio reflects authoritative actions; writes validate role and context; replay does not duplicate an action or run","Placeholder is replaced by an operational page; status ownership overdue items and modeled versus realized benefits are visually distinct","Forms expose labels errors and focus; status is not color-only; confirmation is announced","Every decision references exact forecast risk covenant and source state; mutation returns version and audit identifiers","manual integrated UAT","frontend/src/pages/WorkspacePlaceholder.tsx;docs/backend-production-integration-roadmap.md;docs/fe10-action-capital-contracts.md","Frontend workflow and production persistence/idempotency are incomplete","Business owner"
"FE-UAT-029","production_target","planned_blocked","BE-04","Capital allocation","/app/capital","Investment committee member","desktop tablet and mobile","critical","Capital read model and versioned valuation/optimization runs are deployed","Open portfolio; inspect assumptions constraints and sources; run valuation and optimization; compare returned decision artifact","Projects and funding options use governed run results; infeasible constraints and stale versions receive actionable errors","Placeholder is replaced; assumptions units constraints efficient frontier and recommendation status are legible and responsive","Inputs errors tables and plots are accessible; recommendation is not communicated by color alone","NPV Monte Carlo optimization and funding outputs remain backend-owned and reference exact source state","manual integrated UAT","frontend/src/pages/WorkspacePlaceholder.tsx;docs/backend-production-integration-roadmap.md;docs/fe10-action-capital-contracts.md","Frontend workflow and production decision-run persistence are incomplete","Finance/data owner"
"FE-UAT-030","production_target","planned_blocked","BE-05","Governed reporting","/app/reports","Finance controller","desktop tablet and mobile","critical","Background worker object storage and report governance are deployed","Request a report; observe queued running failed and complete states; inspect artifact; approve with authorized role; publish","One governed workflow connects request job run artifact approval and publication; unauthorized approval is denied","Placeholder is replaced; progress and failures are stable and nonblocking; artifact metadata approval and publication state are prominent","Progress updates are announced politely; controls have labels; downloadable artifacts have type and size; state is not color-only","Artifact source context lineage checksum and publication state match backend records","manual integrated UAT","frontend/src/pages/WorkspacePlaceholder.tsx;docs/backend-production-integration-roadmap.md;docs/fe11-reporting-copilot-contracts.md","Durable jobs object storage and frontend reporting workflow are incomplete","Business owner"
"FE-UAT-031","production_target","planned_blocked","BE-06","Governed Finance Copilot","/app/copilot","CFO","desktop tablet and mobile","critical","Foundry orchestration and approved context assembler are deployed","Submit an allowed question; inspect route model confidence and citations; request unsupported or unauthorized data; attempt a write request","Response is grounded only in approved context with verifiable citations; unsupported requests fail safely; no autonomous finance write occurs","Placeholder is replaced; prompt response citations route confidence fallback and approval requirements are clearly separated and responsive","Conversation is keyboard operable; streaming and errors are announced; citations have descriptive names; confidence is not color-only","Interaction records principal context route model tool calls token/cost and citation lineage","manual integrated UAT","frontend/src/pages/WorkspacePlaceholder.tsx;docs/backend-production-integration-roadmap.md;docs/fe11-reporting-copilot-contracts.md","Foundry production orchestration and frontend Copilot workflow are incomplete","Security reviewer"
"FE-UAT-032","production_target","planned_blocked","BE-02","Data management","/app/data","Data steward","desktop tablet and mobile","high","Production ingestion snapshot and quality APIs are deployed","Upload a valid file; review mapping and quality; publish snapshot; repeat with invalid and duplicate files","Valid data progresses through review to immutable snapshot; invalid data is rejected with row-level reasons; duplicate submission is idempotent","Placeholder is replaced; stage quality reconciliation error and snapshot states are clear; large error tables remain usable","Upload mapping errors and progress are keyboard and screen-reader accessible; errors are linked to affected fields","No browser-side acceptance bypass exists; published snapshot ID checksum and audit records are shown","manual integrated UAT","frontend/src/pages/WorkspacePlaceholder.tsx;docs/cfo-product-implementation-roadmap.md","Production ingestion workflow and frontend page are incomplete","Finance/data owner"
"FE-UAT-033","production_target","planned_blocked","BE-07","Governance workspace","/app/governance","Model governance reviewer","desktop tablet and mobile","critical","Durable governance repositories and production identity are deployed","Open runs scenarios and models; validate; approve as a distinct authorized user; retire; inspect lineage and audit","Lifecycle and segregation of duties are enforced; immutable approved or retired records cannot be edited","Placeholder is replaced; state version owner timestamps and approval history are visible; destructive actions require clear confirmation","State and validation are not color-only; dialogs manage focus; errors identify the denied action","All changes are durable and append auditable actor context hashes and version information","manual integrated UAT","frontend/src/pages/WorkspacePlaceholder.tsx;tests/test_epic03_governance.py","Production identity and complete durable governance UI are incomplete","Security reviewer"
"FE-UAT-034","production_target","planned_blocked","BE-07","HTTP failure handling","/app/command-center","Authorized finance user","desktop and mobile","critical","Integrated staging can inject 401 403 404 409 422 and 500 responses","Trigger each response; inspect message and available recovery; restore successful response","401 requests sign-in; 403 explains denied scope without leaking data; 404 shows unpublished/no-data; 409 offers refresh; 422 identifies invalid input; 500 supports retry","Errors appear in the owning region without overlapping content; destructive retry is not automatic; technical details are not exposed","Error summary and focus behavior are accessible; recovery controls have descriptive names","UI preserves server status semantics correlation ID and active context and does not replace errors with fixtures","manual integrated UAT","frontend/src/api/client.ts;docs/frontend-backend-contracts.md","Integrated auth concurrency and standardized error envelopes are incomplete","Engineering owner"
"FE-UAT-035","production_target","planned_blocked","BE-07","Deep links and recovery","/app/market-risk","Authorized finance user","desktop and mobile","high","Production web server and authentication callback routing are configured","Open every workspace URL directly; refresh; use back and forward; restore an expired session","Known deep links load their route after authentication; refresh does not return a server 404; history restores route and context safely","Shell and page settle without flashing another tenant's data or overlapping loading content","Page title and focus update after route changes; authentication redirect returns focus predictably","No cached response from another company is displayed during route or session recovery","frontend/tests/e2e/smoke.spec.ts","frontend/src/app/router.tsx;frontend/src/app/navigation.ts","Production hosting fallback and OIDC flow are not configured","Security reviewer"
"FE-UAT-036","production_target","planned_blocked","BE-07","Unknown route","/app/not-a-route","Authorized finance user","desktop and mobile","medium","Production application is deployed","Open an unknown application route; navigate back to Command Center","A controlled not-found experience is shown and offers a safe route back without an unhandled router error","Not-found heading message and recovery action fit all viewports and retain the application visual language","Not-found state has a page title heading and keyboard-focusable recovery link","No business API request is made for an unknown route","manual integrated UAT","frontend/src/app/router.tsx","Catch-all route is not implemented","Engineering owner"
"FE-UAT-037","production_target","planned_blocked","BE-07","Large and unusual data","/app/profitability","Finance analyst","desktop tablet and mobile","high","Staging provides long entity names empty series and large tables","Load long labels and 1000-row data; load empty dimensions; zoom to 200 percent","Content remains attributable to the correct context; sorting filtering pagination or virtualization preserve row meaning","No text overlaps or escapes containers; tables use contained overflow; headings remain proportionate; empty charts are not drawn as valid zero data","At 200 percent zoom content remains operable; virtualized or paginated tables retain semantics and keyboard access","Pagination and filtering bounds are server-authoritative and number currency date and timezone formatting are consistent","manual integrated UAT","frontend/src/pages/ProfitabilityPage.tsx;frontend/src/design-system/tokens.css","Production pagination and representative large-data fixtures are incomplete","Accessibility reviewer"
"FE-UAT-038","current","ready","FE-01","Cross-browser and motion presentation","/","Prospective user","desktop and mobile","medium","Current build is available in supported Chromium WebKit and Firefox versions","Open landing and command center in each browser; enable reduced motion; inspect at 100 and 200 percent zoom","Core navigation and information remain available in supported browsers and without animation","Layout has no clipping overlap blank charts or browser-specific font overflow; reduced motion removes nonessential movement","Contrast focus keyboard semantics zoom and prefers-reduced-motion behavior meet WCAG 2.2 AA expectations","Browser presentation does not change data labels or mock/live transparency","frontend/tests/e2e/smoke.spec.ts","frontend/src/styles/global.css;frontend/src/design-system/tokens.css;frontend/playwright.config.ts","Formal browser matrix and automated accessibility scan are not yet release-gated","Accessibility reviewer"
